DateTime,Image_File,Number_of_Defects
2022-01-07 10:28:02.291029,test1.png,0
2022-01-07 10:28:13.330894,test2.png,1
2022-01-07 10:28:24.553526,test3.png,1
2022-01-07 10:28:36.249402,test4.png,2
